"","Population","X","species","x_min","draw","x_max","shape1","shape2","stretch","nu","maxima","breadth","area","special","idx","max_RGR","opt_breadth_low","opt_breadth_high","opt_breadth","x_minBT","x_maxBT","stretchBT","maximaBT","breadthBT","B50_low","B50_high","B50","Range"
"22","N23",172000.5,22,-22.94423205,4000.5,18.15773225,3.03937133375,2.695095,0.758721108625,8.7927943175,4.28412458648232,41.1019643,31.1464135211275,0.758721108625,172000.5,0.70643915900574,-7.73947427727273,13.4294404253788,21.1689147026515,5.36512046798561,46.4670847679856,0.353475588288556,32.5934771044679,41.1019643,20.5698782407129,41.7387929433644,21.1689147026515,"N"
"23","N24",180000.5,23,-22.9616769,4000.5,18.2194677375,2.89656717625,3.00118746625,0.716987424125,11.54122232875,2.48967728879563,41.1811446375,29.4896123711211,0.716987424125,180000.5,0.657984371994023,-9.3629398010101,12.1348864,21.4978262010101,5.34767561798561,46.5288202554856,0.334032556438789,30.7990298067812,41.1811446375,18.9464127169755,40.4442389179856,21.4978262010101,"N"
"24","N26",188000.5,24,-22.5691834625,4000.5,18.6797716,3.00154951125,3.47993506,1.083172576625,11.6151449825,2.077431501182,41.2489550625,44.6295466694309,1.083172576625,188000.5,1.03746871700619,-9.04603988876263,11.4383417184343,20.484381607197,5.74016905548561,46.9891241179856,0.504632149268158,30.3867840191676,41.2489550625,19.263312629223,39.74769423642,20.484381607197,"N"
"25","N27",196000.5,25,-22.647461275,4000.5,17.9537937,2.94041412125,2.83017800125,1.1425459885,10.72169583875,3.32980794434289,40.601254975,46.3320830836818,1.1425459885,196000.5,1.0518886353374,-8.52212721994949,12.6435187501263,21.1656459700758,5.66189124298561,46.2631462179856,0.532293237713751,31.6391604623285,40.601254975,19.7872252980361,40.9528712681119,21.1656459700758,"N"
"26","N29",204000.5,26,-22.937765175,4000.5,17.970829875,3.0552226575,3.10774362,1.225753434375,9.25790033875,2.86486737120452,40.90859505,50.0771105426036,1.225753434375,204000.5,1.16342806616992,-8.52853463080808,12.0026850931818,20.5312197239899,5.37158734298561,46.2801823929856,0.571058207537716,31.1742198891901,40.90859505,19.7808178871775,40.3120376111674,20.5312197239899,"N"
"27","N30",212000.5,27,-22.87676715,4000.5,18.8763722,2.78394239875,2.9662405575,0.811951514875,8.53328995375,2.33780367740003,41.75313935,33.8707784568998,0.811951514875,212000.5,0.728108854548677,-9.89384689949495,12.4897113236111,22.3835582231061,5.43258536798561,47.1857247179856,0.37827475223716,30.6471561953856,41.75313935,18.4155056184907,40.7990638415967,22.3835582231061,"N"
"28","N31",220000.5,28,-22.6392075375,4000.5,19.146837175,2.5764190925,2.7555541225,1.122786020375,8.89133296,2.12296646666674,41.7860447125,46.8639192834099,1.122786020375,220000.5,0.961195942504613,-10.735153464899,12.899912692803,23.635066157702,5.67014498048561,47.4561896929856,0.523087396096657,30.4323189846524,41.7860447125,17.5741990530866,41.2092652107886,23.635066157702,"N"
"29","N32",228000.5,29,-22.7652314125,4000.5,19.082530575,2.699231115,3.1522367,1.054638402125,9.35511708375,1.38519639087731,41.8477619875,44.089997287802,1.054638402125,228000.5,0.943256840754213,-10.6764625199495,11.7756938888889,22.4521564088384,5.54412110548561,47.3918830929856,0.49133855033825,29.6945489088629,41.8477619875,17.6328899980361,40.0850464068745,22.4521564088384,"N"
"30","N8",236000.5,30,-22.7475916625,4000.5,18.722453125,3.31846029625,2.78063645875,0.873821254125,8.65899529625,5.6486936053383,41.4700447875,36.1909224651992,0.873821254125,236000.5,0.863159930892139,-5.87643544621212,14.2083180018939,20.0847534481061,5.56176085548561,47.0318056429856,0.407098838228765,33.9580461233239,41.4700447875,22.4329170717735,42.5176705198796,20.0847534481061,"N"
"31","N9",244000.5,31,-22.7278161875,4000.5,19.4612656125,2.586031005,2.511498925,0.76951671025,11.238973895,3.37910504302655,42.1890818,32.4350919020712,0.76951671025,244000.5,0.649789055549289,-10.0455628241162,14.1547274707071,24.2002902948232,5.58153633048561,47.7706181304856,0.358505080142607,31.6884575610122,42.1890818,18.2637896938695,42.4640799886927,24.2002902948232,"N"
