"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"min_max[24,1]",-22.57,0.02,1.08,-24.71,-23.29,-22.56,-21.83,-20.48,2359.3,1
"min_max[24,2]",18.68,0.01,0.87,17.04,18.09,18.65,19.24,20.48,7163.97,1
"min_max[25,1]",-22.65,0.02,1.11,-24.87,-23.37,-22.64,-21.88,-20.53,2204.05,1
"min_max[25,2]",17.95,0.01,0.87,16.53,17.31,17.85,18.5,19.87,5832.09,1
"min_max[26,1]",-22.94,0.02,1.07,-25.11,-23.65,-22.91,-22.21,-20.93,2442.02,1
"min_max[26,2]",17.97,0.01,0.92,16.29,17.32,17.91,18.58,19.86,6193.98,1
"min_max[27,1]",-22.88,0.02,1.09,-25.08,-23.6,-22.85,-22.13,-20.79,2438.02,1
"min_max[27,2]",18.88,0.01,0.89,17.23,18.25,18.86,19.46,20.69,6468.43,1
"min_max[28,1]",-22.64,0.02,1.1,-24.83,-23.38,-22.62,-21.87,-20.59,2464.63,1
"min_max[28,2]",19.15,0.01,0.85,17.63,18.54,19.09,19.71,20.93,6395.5,1
"min_max[29,1]",-22.77,0.02,1.08,-24.93,-23.49,-22.75,-22.03,-20.71,2200.64,1
"min_max[29,2]",19.08,0.01,0.87,17.44,18.47,19.07,19.66,20.82,6898.41,1
"min_max[30,1]",-22.75,0.02,1.13,-24.97,-23.52,-22.74,-21.98,-20.54,2403.01,1
"min_max[30,2]",18.72,0.01,0.85,17.27,18.1,18.66,19.28,20.5,6985.6,1
"min_max[31,1]",-22.73,0.02,1.08,-24.91,-23.45,-22.7,-21.97,-20.7,2262.76,1
"min_max[31,2]",19.46,0.01,0.82,18.03,18.87,19.4,19.99,21.18,7298.71,1
"nu[1]",11.59,0.02,2.31,7.36,9.99,11.51,13.09,16.39,8902.07,1
"nu[2]",9.86,0.02,1.96,6.2,8.51,9.78,11.14,13.89,11807.28,1
"nu[3]",7.52,0.01,1.42,4.92,6.52,7.47,8.47,10.42,11364.67,1
"nu[4]",14.38,0.03,2.84,9.13,12.41,14.29,16.23,20.33,9636.54,1
"nu[5]",12.75,0.06,4.6,5.18,9.43,12.34,15.62,22.82,6706.14,1
"nu[6]",8.74,0.02,1.77,5.46,7.5,8.69,9.92,12.4,10857.67,1
"nu[7]",9.08,0.02,1.71,5.96,7.89,9.03,10.23,12.59,9813.12,1
"nu[8]",8.08,0.01,1.51,5.25,7.05,8.04,9.06,11.14,11425.9,1
"nu[9]",9.55,0.02,2.02,5.76,8.15,9.48,10.87,13.68,10358.14,1
"nu[10]",8.7,0.02,1.58,5.74,7.6,8.66,9.73,11.98,10261.47,1
"nu[11]",9.05,0.01,1.56,6.17,7.98,9,10.1,12.19,11165.68,1
"nu[12]",10.59,0.03,2.37,6.24,8.95,10.49,12.14,15.47,8041.52,1
"nu[13]",8.29,0.02,1.87,4.84,6.99,8.23,9.53,12.15,8677.19,1
"nu[14]",10.88,0.02,2.23,6.8,9.29,10.81,12.37,15.41,10504.25,1
"nu[15]",8.83,0.02,1.77,5.54,7.62,8.77,9.97,12.38,10302.19,1
"nu[16]",8.29,0.02,1.67,5.21,7.13,8.23,9.38,11.71,11412.38,1
