,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
N23,-0.939,-1.898,-1.855,-2.092,-1.012,-3.584*,-0.567,1.661,-1.812,-1.231,-0.843,-0.845,-1.07,-0.176,-4.819**,-2.55,-2.022,-2.574,-2.706,-3.451*,-2.825,0,-1.794,-2.207,-0.954,-1.419,-1.946,-2.161,-2.899,1.365,-0.905
N24,0.855,-0.104,-0.061,-0.298,0.782,-1.79,1.227,3.456**,-0.017,0.563,0.952,0.949,0.724,1.618,-3.024,-0.756,-0.228,-0.78,-0.911,-1.657,-1.031,1.794,0,-0.412,0.84,0.375,-0.152,-0.367,-1.104,3.159,0.889
N26,1.267,0.308,0.351,0.115,1.194,-1.378,1.639,3.868**,0.395,0.976,1.364,1.361,1.136,2.03,-2.612,-0.343,0.185,-0.367,-0.499,-1.245,-0.618,2.207,0.412,0,1.252,0.787,0.26,0.046,-0.692,3.571*,1.302
N27,0.015,-0.944,-0.901,-1.138,-0.058,-2.63,0.387,2.616*,-0.857,-0.277,0.112,0.109,-0.116,0.778,-3.864**,-1.596,-1.068,-1.62,-1.751,-2.497,-1.871,0.954,-0.84,-1.252,0,-0.465,-0.992,-1.207,-1.945,2.319,0.049
N29,0.48,-0.479,-0.436,-0.673,0.407,-2.165,0.852,3.08**,-0.392,0.188,0.577,0.574,0.349,1.243,-3.4*,-1.131,-0.603,-1.155,-1.286,-2.032,-1.406,1.419,-0.375,-0.787,0.465,0,-0.527,-0.742,-1.48,2.784,0.514
N30,1.007,0.048,0.091,-0.146,0.934,-1.638,1.379,3.608*,0.135,0.715,1.104,1.101,0.876,1.77,-2.872,-0.604,-0.076,-0.628,-0.759,-1.505,-0.879,1.946,0.152,-0.26,0.992,0.527,0,-0.215,-0.953,3.311,1.041
N31,1.222,0.263,0.306,0.069,1.149,-1.423,1.594,3.822**,0.349,0.93,1.319,1.316,1.091,1.985,-2.658,-0.389,0.139,-0.413,-0.545,-1.29,-0.664,2.161,0.367,-0.046,1.207,0.742,0.215,0,-0.738,3.526*,1.256
N32,1.959,1,1.043,0.807,1.886,-0.685,2.332,4.56**,1.087,1.668,2.056,2.054,1.829,2.722,-1.92,0.349,0.877,0.325,0.193,-0.552,0.074,2.899,1.104,0.692,1.945,1.48,0.953,0.738,0,4.263**,1.994
N8,-2.304,-3.263*,-3.22*,-3.457**,-2.377,-4.949**,-1.932,0.297,-3.176,-2.596,-2.207,-2.21,-2.435,-1.541,-6.183**,-3.915*,-3.387*,-3.939*,-4.07**,-4.816**,-4.19**,-1.365,-3.159,-3.571*,-2.319,-2.784,-3.311,-3.526*,-4.263**,0,-2.27
N9,-0.034,-0.993,-0.95,-1.187,-0.107,-2.679,0.338,2.566,-0.907,-0.326,0.063,0.06,-0.165,0.729,-3.914**,-1.645,-1.117,-1.669,-1.801,-2.546,-1.92,0.905,-0.889,-1.302,-0.049,-0.514,-1.041,-1.256,-1.994,2.27,0
