,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
N22,0.138,0.035,0.403*,0.31*,0.369,0.05,0.255,0.539**,0.45*,0.384*,0.093,-0.185,0.2,0.62**,0.147,0.034,0.405*,0.512**,0.014,0.207,0,-0.099,-0.141,0.225,0.284,0.368,-0.046,0.265,0.197,0.016,-0.089
N23,0.237,0.134,0.503**,0.41**,0.469,0.149,0.354*,0.638**,0.549**,0.484**,0.193,-0.086,0.299,0.72**,0.246,0.134,0.504**,0.611**,0.114,0.306,0.099,0,-0.042,0.324*,0.384*,0.467**,0.053,0.364,0.296,0.115,0.011
N24,0.279*,0.176,0.544**,0.452**,0.51*,0.191,0.396**,0.68**,0.591**,0.525**,0.234,-0.044,0.341*,0.761**,0.288,0.175,0.546**,0.653**,0.155,0.348*,0.141,0.042,0,0.366**,0.426**,0.509**,0.095,0.406**,0.338*,0.157,0.053
N26,-0.087,-0.19,0.178,0.085,0.144,-0.175,0.03,0.314,0.225,0.159,-0.132,-0.41**,-0.025,0.395,-0.079,-0.191,0.18,0.286,-0.211,-0.019,-0.225,-0.324*,-0.366**,0,0.059,0.143,-0.271,0.04,-0.029,-0.209,-0.314*
N27,-0.146,-0.25,0.119,0.026,0.085,-0.235,-0.03,0.254,0.165,0.1,-0.191,-0.469**,-0.085,0.336,-0.138,-0.25,0.12,0.227,-0.27,-0.078,-0.284,-0.384*,-0.426**,-0.059,0,0.083,-0.331,-0.02,-0.088,-0.269,-0.373*
N29,-0.23,-0.333,0.036,-0.057,0.001,-0.318,-0.113,0.171,0.082,0.017,-0.274,-0.553**,-0.168,0.253,-0.221,-0.333,0.037,0.144,-0.353*,-0.161,-0.368,-0.467**,-0.509**,-0.143,-0.083,0,-0.414*,-0.103,-0.171,-0.352,-0.456**
N30,0.184,0.081,0.449*,0.357*,0.415,0.096,0.301,0.585**,0.496**,0.43*,0.139,-0.139,0.246,0.666**,0.193,0.081,0.451*,0.558**,0.06,0.253,0.046,-0.053,-0.095,0.271,0.331,0.414*,0,0.311,0.243,0.062,-0.042
N31,-0.127,-0.23,0.139,0.046,0.104,-0.215,-0.01,0.274,0.185,0.12,-0.171,-0.45**,-0.065,0.355,-0.118,-0.23,0.14,0.247,-0.25,-0.058,-0.265,-0.364,-0.406**,-0.04,0.02,0.103,-0.311,0,-0.068,-0.249,-0.353*
N32,-0.058,-0.162,0.207,0.114,0.173,-0.147,0.058,0.342,0.253,0.188,-0.103,-0.382**,0.003,0.424*,-0.05,-0.162,0.208,0.315,-0.182,0.01,-0.197,-0.296,-0.338*,0.029,0.088,0.171,-0.243,0.068,0,-0.181,-0.285
N8,0.122,0.019,0.388,0.295,0.353,0.034,0.239,0.523*,0.434,0.369,0.078,-0.201,0.184,0.604**,0.131,0.019,0.389,0.496,-0.001,0.191,-0.016,-0.115,-0.157,0.209,0.269,0.352,-0.062,0.249,0.181,0,-0.104
N9,0.227,0.123,0.492**,0.399**,0.458,0.138,0.343*,0.627**,0.538**,0.473**,0.182,-0.096,0.289,0.709**,0.235,0.123,0.493**,0.6**,0.103,0.295,0.089,-0.011,-0.053,0.314*,0.373*,0.456**,0.042,0.353*,0.285,0.104,0
