,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
N23,-1.278,-1.807,-0.633,-2.009,-0.458,-3.562,0.007,1.788,-1.593,-1.473,-0.255,-2.011,-1.784,-0.679,-4.788*,-1.777,-1.727,-1.321,-2.938,-2.785,-1.546,0,-1.623,-1.307,-0.783,-0.789,-2.154,-2.996,-2.937,1.863,-2.306
N24,0.346,-0.184,0.99,-0.386,1.165,-1.938,1.631,3.411,0.03,0.15,1.369,-0.387,-0.16,0.945,-3.164,-0.154,-0.103,0.303,-1.315,-1.161,0.078,1.623,0,0.317,0.841,0.834,-0.531,-1.372,-1.314,3.487,-0.683
N26,0.029,-0.501,0.673,-0.703,0.848,-2.255,1.314,3.094,-0.287,-0.166,1.052,-0.704,-0.477,0.628,-3.481,-0.471,-0.42,-0.014,-1.632,-1.478,-0.239,1.307,-0.317,0,0.524,0.518,-0.848,-1.689,-1.63,3.17,-1
N27,-0.495,-1.024,0.149,-1.227,0.325,-2.779,0.79,2.57,-0.811,-0.69,0.528,-1.228,-1.001,0.104,-4.005*,-0.995,-0.944,-0.538,-2.155,-2.002,-0.763,0.783,-0.841,-0.524,0,-0.006,-1.372,-2.213,-2.154,2.646,-1.523
N29,-0.489,-1.018,0.156,-1.22,0.331,-2.773,0.796,2.577,-0.804,-0.684,0.534,-1.222,-0.995,0.11,-3.999,-0.988,-0.938,-0.532,-2.149,-1.996,-0.757,0.789,-0.834,-0.518,0.006,0,-1.365,-2.207,-2.148,2.652,-1.517
N30,0.877,0.347,1.521,0.145,1.696,-1.407,2.161,3.942,0.561,0.681,1.899,0.144,0.371,1.476,-2.633,0.377,0.428,0.834,-0.784,-0.63,0.609,2.154,0.531,0.848,1.372,1.365,0,-0.841,-0.783,4.017,-0.152
N31,1.718,1.189,2.362,0.986,2.538,-0.566,3.003,4.783**,1.402,1.523,2.741,0.985,1.212,2.317,-1.792,1.218,1.269,1.675,0.058,0.211,1.45,2.996,1.372,1.689,2.213,2.207,0.841,0,0.059,4.859,0.69
N32,1.659,1.13,2.304,0.928,2.479,-0.625,2.944,4.725*,1.344,1.464,2.682,0.926,1.153,2.258,-1.851,1.16,1.21,1.616,-0.001,0.152,1.391,2.937,1.314,1.63,2.154,2.148,0.783,-0.059,0,4.8,0.631
N8,-3.141,-3.67,-2.496,-3.872,-2.321,-5.425,-1.856,-0.075,-3.456,-3.336,-2.118,-3.874,-3.647,-2.542,-6.651**,-3.64,-3.59,-3.184,-4.801*,-4.648,-3.409,-1.863,-3.487,-3.17,-2.646,-2.652,-4.017,-4.859,-4.8,0,-4.169
N9,1.028,0.499,1.673,0.297,1.848,-1.255,2.313,4.094,0.713,0.833,2.051,0.295,0.523,1.627,-2.482,0.529,0.579,0.985,-0.632,-0.478,0.76,2.306,0.683,1,1.523,1.517,0.152,-0.69,-0.631,4.169,0
