,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
N23,0.188,0.106,0.538*,0.348*,0.466,0.099,0.363*,0.634**,0.499*,0.407*,0.198,-0.126,0.221,0.616**,0.166,0.139,0.456*,0.636**,0.062,0.273,0.132,0,-0.048,0.331,0.345,0.457*,0.022,0.255,0.237,0.157,-0.057
N24,0.237,0.154,0.587**,0.397**,0.514,0.147,0.411**,0.683**,0.547**,0.455**,0.247,-0.078,0.269,0.665**,0.214,0.187,0.504**,0.684**,0.11,0.322,0.181,0.048,0,0.379**,0.394*,0.505**,0.07,0.303,0.285,0.205,-0.008
N26,-0.143,-0.225,0.207,0.017,0.135,-0.232,0.032,0.303,0.168,0.076,-0.133,-0.457**,-0.11,0.285,-0.165,-0.192,0.125,0.305,-0.269,-0.058,-0.199,-0.331,-0.379**,0,0.014,0.126,-0.309,-0.076,-0.094,-0.174,-0.388**
N27,-0.157,-0.24,0.193,0.003,0.12,-0.247,0.018,0.289,0.153,0.061,-0.147,-0.472**,-0.125,0.271,-0.18,-0.207,0.11,0.29,-0.284,-0.072,-0.213,-0.345,-0.394*,-0.014,0,0.112,-0.324,-0.091,-0.109,-0.189,-0.402**
N29,-0.269,-0.351,0.081,-0.109,0.009,-0.358,-0.094,0.177,0.042,-0.05,-0.258,-0.583**,-0.236,0.159,-0.291,-0.318,-0.001,0.179,-0.395*,-0.184,-0.325,-0.457*,-0.505**,-0.126,-0.112,0,-0.435*,-0.202,-0.22,-0.3,-0.514**
N30,0.167,0.084,0.517*,0.327*,0.444,0.077,0.341*,0.613**,0.477**,0.385*,0.177,-0.148,0.199,0.595**,0.144,0.117,0.434*,0.614**,0.04,0.251,0.111,-0.022,-0.07,0.309,0.324,0.435*,0,0.233,0.215,0.135,-0.078
N31,-0.066,-0.149,0.284,0.094,0.211,-0.156,0.108,0.379,0.244,0.152,-0.056,-0.381*,-0.034,0.362,-0.089,-0.116,0.201,0.381,-0.193,0.018,-0.122,-0.255,-0.303,0.076,0.091,0.202,-0.233,0,-0.018,-0.098,-0.311
N32,-0.048,-0.131,0.302,0.112,0.229,-0.138,0.126,0.397,0.262,0.17,-0.038,-0.363*,-0.016,0.38,-0.071,-0.098,0.219,0.399,-0.175,0.036,-0.105,-0.237,-0.285,0.094,0.109,0.22,-0.215,0.018,0,-0.08,-0.293*
N8,0.032,-0.051,0.382,0.192,0.309,-0.058,0.206,0.477,0.342,0.25,0.042,-0.283,0.064,0.46,0.009,-0.018,0.299,0.479,-0.095,0.116,-0.024,-0.157,-0.205,0.174,0.189,0.3,-0.135,0.098,0.08,0,-0.213
N9,0.245,0.162,0.595**,0.405**,0.522*,0.155,0.42**,0.691**,0.555**,0.464**,0.255,-0.07,0.277,0.673**,0.222,0.195,0.512**,0.692**,0.118,0.33,0.189,0.057,0.008,0.388**,0.402*,0.514**,0.078,0.311,0.293*,0.213,0
