,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
N22,6.053,1.913,16.728*,12.767*,15.212,2.389,10.755,22.814**,19.342**,16.576*,3.896,-6.785,8.552,26.661**,6.108,1.625,16.7*,21.146**,1.018,8.08,0,-3.948,-5.605,9.535,11.237,14.982*,-1.224,11.769,8.995,1.096,-2.66
N23,10.002,5.861,20.676**,16.715**,19.16,6.338,14.704*,26.763**,23.29**,20.525**,7.845,-2.837,12.501,30.609**,10.057,5.573,20.648**,25.094**,4.967,12.029,3.948,0,-1.657,13.483*,15.186*,18.931**,2.724,15.718*,12.944,5.045,1.289
N24,11.658*,7.518,22.333**,18.372**,20.817*,7.995,16.361**,28.42**,24.947**,22.181**,9.502,-1.18,14.157*,32.266**,11.713,7.23,22.305**,26.751**,6.624,13.686*,5.605,1.657,0,15.14**,16.842**,20.587**,4.381,17.374**,14.6*,6.701,2.945
N26,-3.482,-7.622,7.193,3.232,5.677,-7.145,1.221,13.28,9.807,7.041,-5.638,-16.32**,-0.983,17.126*,-3.427,-7.91,7.165,11.611,-8.516,-1.454,-9.535,-13.483*,-15.14**,0,1.703,5.448,-10.759,2.234,-0.54,-8.439,-12.194*
N27,-5.184,-9.324,5.491,1.529,3.975,-8.848,-0.482,11.577,8.104,5.339,-7.341,-18.023**,-2.685,15.424,-5.129,-9.612,5.463,9.909,-10.219,-3.157,-11.237,-15.186*,-16.842**,-1.703,0,3.745,-12.461,0.532,-2.242,-10.141,-13.897*
N29,-8.929,-13.069,1.746,-2.216,0.23,-12.593,-4.227,7.832,4.359,1.594,-11.086,-21.768**,-6.43,11.679,-8.874,-13.357,1.718,6.164,-13.964,-6.902,-14.982*,-18.931**,-20.587**,-5.448,-3.745,0,-16.206*,-3.213,-5.987,-13.886,-17.642**
N30,7.277,3.137,17.952*,13.991*,16.436,3.613,11.979,24.038**,20.566**,17.8*,5.12,-5.561,9.776,27.885**,7.332,2.849,17.924*,22.37**,2.242,9.304,1.224,-2.724,-4.381,10.759,12.461,16.206*,0,12.993,10.219,2.32,-1.436
N31,-5.716,-9.856,4.959,0.998,3.443,-9.38,-1.014,11.045,7.573,4.807,-7.873,-18.554**,-3.217,14.892,-5.661,-10.144,4.931,9.377,-10.751,-3.689,-11.769,-15.718*,-17.374**,-2.234,-0.532,3.213,-12.993,0,-2.774,-10.673,-14.429*
N32,-2.942,-7.082,7.733,3.772,6.217,-6.606,1.76,13.819,10.347,7.581,-5.099,-15.78*,-0.443,17.666*,-2.887,-7.37,7.705,12.151,-7.977,-0.915,-8.995,-12.944,-14.6*,0.54,2.242,5.987,-10.219,2.774,0,-7.899,-11.655
N8,4.957,0.817,15.632,11.671,14.116,1.293,9.659,21.718*,18.246,15.48,2.8,-7.881,7.456,25.565**,5.012,0.529,15.604,20.05,-0.078,6.984,-1.096,-5.045,-6.701,8.439,10.141,13.886,-2.32,10.673,7.899,0,-3.756
N9,8.713,4.573,19.388**,15.426**,17.872,5.049,13.415*,25.474**,22.001**,19.236**,6.556,-4.126,11.212,29.321**,8.768,4.285,19.36**,23.806**,3.678,10.74,2.66,-1.289,-2.945,12.194*,13.897*,17.642**,1.436,14.429*,11.655,3.756,0
