"Round","Population","Family","Replicate","daytemp","nighttemp","StemIN","StemOUT","secondarytotIN","secondarytotOUT","AvgsecondaryIN","AvgsecondaryOUT","TotIN_Sub","TotOUT_Sub","RGRTOT1","RGRTOT1x"
4,"N19",154,0.02,45,35,3.2,0,0,0,0,0,3.2,0,-0.142857142857143,0
4,"N20",156,0.05,20,10,1.8,3.4,0,6,0,0.8,1.8,8.2,0.507936507936508,0.507936507936508
4,"N20",156,0.04,25,15,0.8,1,0,0,0,0,0.8,1,0.0357142857142857,0.0357142857142857
4,"N20",158,0.01,45,35,1.2,0.9,0,0,0,0,1.2,0.9,-0.0357142857142857,0
4,"N20",159,0.05,20,10,1.7,1.8,0,8,0,0.6,1.7,6.6,0.411764705882353,0.411764705882353
4,"N21",164,0.03,25,15,1.5,1.5,0,0,0,0,1.5,1.5,0,0
4,"N21",165,0.02,45,35,2.2,0,0,0,0,0,2.2,0,-0.142857142857143,0
4,"N22",168,0.04,25,15,1.2,3.6,0,8,0,0.9,1.2,10.8,1.14285714285714,1.14285714285714
4,"N22",169,0.02,45,35,2.5,0,0,0,0,0,2.5,0,-0.142857142857143,0
4,"N22",170,0.02,45,35,1.7,0,0,0,0,0,1.7,0,-0.142857142857143,0
4,"N23",183,0.01,45,35,0.7,0,0,0,0,0,0.7,0,-0.142857142857143,0
4,"N23",184,0.06,20,10,1.7,4.6,0,4,0,0.9,1.7,8.2,0.546218487394958,0.546218487394958
3,"N23",184,0.03,30,20,1.8,6.5,0,8,0,1.2,1.8,16.1,1.13492063492064,1.13492063492064
4,"N23",184,0.02,45,35,0.7,0.7,0,0,0,0,0.7,0.7,0,0
4,"N24",191,0.01,45,35,1.2,0,0,0,0,0,1.2,0,-0.142857142857143,0
4,"N26",205,0.02,45,35,0.5,0.6,0,2,0,0.2,0.5,1,0.142857142857143,0.142857142857143
4,"N26",206,0.01,45,35,2.1,0,0,0,0,0,2.1,0,-0.142857142857143,0
4,"N27",212,0.02,45,35,1.5,1.5,0,0,0,0,1.5,1.5,0,0
3,"N27",216,0.02,40,30,2.8,6.2,4,6,0,4.7,2.8,34.4,1.61224489795918,1.61224489795918
4,"N29",236,0.04,25,15,1.2,2.6,0,5,0,2.5,1.2,15.1,1.6547619047619,1.6547619047619
3,"N29",236,0.01,40,30,4.9,10.2,1,1,0,1.6,4.9,11.8,0.201166180758017,0.201166180758017
3,"N29",236,0.05,45,35,3.2,0,0,0,0,0,3.2,0,-0.142857142857143,0
3,"N29",236,0.06,45,35,4,6.1,0,0,0,0,4,6.1,0.075,0.075
4,"N29",236,0.01,45,35,4.1,5,0,0,0,0,4.1,5,0.0313588850174216,0.0313588850174216
3,"N29",237,0.04,30,20,0.9,3.9,0,4,0,2.6,0.9,14.3,2.12698412698413,2.12698412698413
4,"N29",237,0.02,45,35,1.1,0,0,0,0,0,1.1,0,-0.142857142857143,0
4,"N29",237,0.01,45,35,1.2,1.2,0,2,0,0.2,1.2,1.6,0.0476190476190476,0.0476190476190476
3,"N30",245,0.01,40,30,2.7,2.5,0,1,0,0.5,2.7,3,0.0158730158730159,0.0158730158730159
4,"N30",247,0.02,45,35,0.8,0.7,0,4,0,0.2,0.8,1.5,0.125,0.125
4,"N31",251,0.06,20,10,2.7,3.1,0,8,0,1.1,2.7,11.9,0.486772486772487,0.486772486772487
4,"N31",253,0.03,25,15,1.2,2.4,0,8,0,0.7,1.2,8,0.809523809523809,0.809523809523809
4,"N32",258,0.03,25,15,1.1,1.6,0,2,0,1.9,1.1,5.4,0.558441558441558,0.558441558441558
4,"N32",259,0.06,20,10,2.2,3.7,0,6,0,1.1,2.2,10.3,0.525974025974026,0.525974025974026
5,"N19",154,0.01,10,0,2.3,2.3,0,0,0,0,2.3,2.3,0,0
4,"I12",313,0.01,45,35,1.7,2.3,1,4,0.1,0.1,1.8,2.7,0.0714285714285714,0.0714285714285714
4,"I4",277,0.02,45,35,2.2,0.9,2,4,0.1,0.2,2.4,1.7,-0.0416666666666667,0
4,"I6",285,0.03,25,15,2.3,2.1,2,9,0.1,2.6,2.5,25.5,1.31428571428571,1.31428571428571
4,"I8",295,0.03,25,15,3.1,2.8,2,4,0.1,0.2,3.3,3.6,0.012987012987013,0.012987012987013
3,"I9",301,0.05,45,35,2.1,0,3,0,0.1,0,2.4,0,-0.142857142857143,0
3,"N16",137,0.03,30,20,1.7,2.2,4,8,0.1,2.5,2.1,22.2,1.36734693877551,1.36734693877551
3,"N16",137,0.06,45,35,2.6,0,3,0,0.1,0,2.9,0,-0.142857142857143,0
4,"N20",158,0.06,20,10,3.6,3.6,4,4,0.1,0.7,4,6.4,0.0857142857142857,0.0857142857142857
4,"N21",164,0.02,45,35,4,0,3,0,0.1,0,4.3,0,-0.142857142857143,0
4,"N23",183,0.03,25,15,1.4,3.2,2,7,0.1,0.9,1.6,9.5,0.705357142857143,0.705357142857143
3,"N24",191,0.01,40,30,3.6,7.8,6,6,0.1,0.5,4.2,10.8,0.224489795918367,0.224489795918367
4,"N27",221,0.01,45,35,3.5,0,2,0,0.1,0,3.7,0,-0.142857142857143,0
4,"N29",237,0.05,20,10,1.5,1.7,1,4,0.1,0.6,1.6,4.1,0.223214285714286,0.223214285714286
3,"N29",237,0.05,45,35,2.2,0,4,0,0.1,0,2.6,0,-0.142857142857143,0
4,"N32",256,0.06,20,10,2.2,3.4,2,2,0.1,1.5,2.4,6.4,0.238095238095238,0.238095238095238
3,"N32",256,0.04,30,20,0.9,2.2,1,7,0.1,2.2,1,17.6,2.37142857142857,2.37142857142857
3,"N32",258,0.01,40,30,2.5,3.5,4,4,0.1,0.5,2.9,5.5,0.12807881773399,0.12807881773399
3,"I1",260,0.02,40,30,5.1,7.1,4,4,0.2,2.7,5.9,17.9,0.290556900726392,0.290556900726392
4,"I1",263,0.04,25,15,5.8,10.6,1,10,0.2,2.8,6,38.6,0.776190476190476,0.776190476190476
3,"I1",263,0.01,40,30,2.3,6.1,5,9,0.2,0.8,3.3,13.3,0.432900432900433,0.432900432900433
3,"I12",313,0.01,40,30,3.2,3.2,4,4,0.2,1.1,4,7.6,0.128571428571429,0.128571428571429
4,"I12",313,0.02,45,35,2.5,1.5,2,2,0.2,0.7,2.9,2.9,0,0
3,"I12",314,0.04,30,20,2.2,7.9,6,10,0.2,1.9,3.4,26.9,0.987394957983193,0.987394957983193
3,"I12",314,0.05,45,35,2.2,0,4,0,0.2,0,3,0,-0.142857142857143,0
3,"I2",266,0.02,40,30,4.1,5.7,5,8,0.2,0.4,5.1,8.9,0.106442577030812,0.106442577030812
4,"I2",267,0.06,20,10,3.3,4.1,3,4,0.2,0.3,3.9,5.3,0.0512820512820513,0.0512820512820513
3,"I2",267,0.02,40,30,3.4,8.4,4,6,0.2,1.5,4.2,17.4,0.448979591836735,0.448979591836735
3,"I2",267,0.05,45,35,4.2,0,3,0,0.2,0,4.8,0,-0.142857142857143,0
4,"I3",269,0.03,25,15,1.3,2.2,2,6,0.2,1.7,1.7,12.4,0.899159663865546,0.899159663865546
3,"I3",273,0.01,40,30,2.5,4.5,1,8,0.2,1.5,2.7,16.5,0.73015873015873,0.73015873015873
4,"I4",275,0.03,25,15,1.7,3.2,5,7,0.2,2.7,2.7,22.1,1.02645502645503,1.02645502645503
3,"I4",275,0.02,40,30,1.2,4.7,3,3,0.2,2.6,1.8,12.5,0.849206349206349,0.849206349206349
4,"I4",278,0.06,20,10,2.2,3.4,6,10,0.2,1.6,3.4,19.4,0.672268907563025,0.672268907563025
3,"I4",278,0.01,40,30,2.7,6.6,6,16,0.2,1.7,3.9,33.8,1.0952380952381,1.0952380952381
3,"I4",278,0.06,45,35,1.7,2.2,4,1,0.2,0.3,2.5,2.5,0,0
3,"I5",279,0.06,45,35,1.7,2.1,1,3,0.2,0.2,1.9,2.7,0.0601503759398496,0.0601503759398496
4,"I6",284,0.03,25,15,3.2,7.3,6,11,0.2,1.6,4.4,24.9,0.665584415584416,0.665584415584416
4,"I7",289,0.04,25,15,2.2,3.1,1,2,0.2,1,2.4,5.1,0.160714285714286,0.160714285714286
3,"I7",289,0.05,45,35,3.2,0,4,0,0.2,0,4,0,-0.142857142857143,0
4,"I7",290,0.02,45,35,2.8,3.3,8,10,0.2,0.6,4.4,9.3,0.159090909090909,0.159090909090909
4,"I9",301,0.01,45,35,1.3,1.5,4,6,0.2,0.3,2.1,3.3,0.0816326530612245,0.0816326530612245
4,"N10",65,0.01,45,35,1.2,1.1,2,8,0.2,1.9,1.6,16.3,1.3125,1.3125
4,"N10",66,0.01,45,35,1.8,0,2,0,0.2,0,2.2,0,-0.142857142857143,0
4,"N12",81,0.04,25,15,2.6,4.8,3,8,0.2,2,3.2,20.8,0.785714285714286,0.785714285714286
4,"N12",81,0.02,45,35,0.9,1.2,2,6,0.2,0.2,1.3,2.4,0.120879120879121,0.120879120879121
4,"N12",82,0.04,25,15,1.1,2.5,1,3,0.2,2.2,1.3,9.1,0.857142857142857,0.857142857142857
4,"N16",139,0.06,20,10,2.3,2.9,1,8,0.2,1.2,2.5,12.5,0.571428571428571,0.571428571428571
3,"N16",139,0.03,30,20,2.4,3.7,4,8,0.2,2.5,3.2,23.7,0.915178571428571,0.915178571428571
3,"N16",139,0.04,30,20,1.2,1.2,4,6,0.2,3.2,2,20.4,1.31428571428571,1.31428571428571
3,"N16",140,0.01,40,30,2.2,3.6,4,7,0.2,1.8,3,16.2,0.628571428571429,0.628571428571429
4,"N18",147,0.06,20,10,2.2,2.6,6,7,0.2,3.3,3.4,25.7,0.936974789915966,0.936974789915966
3,"N18",148,0.04,30,20,3.1,5.2,4,13,0.2,2.1,3.9,32.5,1.04761904761905,1.04761904761905
4,"N18",148,0.02,45,35,0.7,0.8,2,2,0.2,0.6,1.1,2,0.116883116883117,0.116883116883117
3,"N19",153,0.03,30,20,1.7,3.7,4,7,0.2,2.1,2.5,18.4,0.908571428571429,0.908571428571429
4,"N19",153,0.02,45,35,1.4,2.5,3,4,0.2,0.3,2,3.7,0.121428571428571,0.121428571428571
4,"N20",156,0.03,25,15,1.7,4.3,4,8,0.2,1.2,2.5,13.9,0.651428571428571,0.651428571428571
3,"N20",159,0.02,40,30,2.4,3,3,8,0.2,1,3,11,0.380952380952381,0.380952380952381
4,"N21",165,0.01,45,35,2.9,0,2,0,0.2,0,3.3,0,-0.142857142857143,0
4,"N23",182,0.04,25,15,4.7,14.1,6,8,0.2,1.4,5.9,25.3,0.469733656174334,0.469733656174334
3,"N23",182,0.06,45,35,3.2,3.7,7,5,0.2,1,4.6,8.7,0.127329192546584,0.127329192546584
4,"N23",183,0.06,20,10,1.2,2.6,1,3,0.2,0.7,1.4,4.7,0.336734693877551,0.336734693877551
3,"N23",183,0.02,40,30,1,3,6,8,0.2,1.3,2.2,13.4,0.727272727272727,0.727272727272727
3,"N23",183,0.06,45,35,1.8,2.2,5,3,0.2,0.2,2.8,2.8,2.26576127474522e-17,2.26576127474522e-17
3,"N23",184,0.02,40,30,3.1,4.1,6,7,0.2,0.5,4.3,7.6,0.109634551495017,0.109634551495017
3,"N23",184,0.06,45,35,4,0,4,0,0.2,0,4.8,0,-0.142857142857143,0
4,"N24",191,0.02,45,35,5.9,0,2,0,0.2,0,6.3,0,-0.142857142857143,0
4,"N24",192,0.03,25,15,2.9,7.4,4,9,0.2,2.8,3.7,32.6,1.11583011583012,1.11583011583012
3,"N24",193,0.02,40,30,3.2,3.7,2,8,0.2,1.2,3.6,13.3,0.384920634920635,0.384920634920635
4,"N24",193,0.01,45,35,4.7,2.1,2,4,0.2,0.6,5.1,4.5,-0.0168067226890756,0
3,"N26",205,0.04,30,20,3.3,7.5,6,12,0.2,3.7,4.5,51.9,1.5047619047619,1.5047619047619
4,"N26",206,0.03,25,15,2.2,6.2,2,4,0.2,2.7,2.6,17,0.791208791208791,0.791208791208791
4,"N27",212,0.06,20,10,2.7,2.6,2,3,0.2,1.5,3.1,7.1,0.184331797235023,0.184331797235023
3,"N27",212,0.01,40,30,3.8,6.7,9,14,0.2,0.9,5.6,19.3,0.349489795918367,0.349489795918367
4,"N27",216,0.04,25,15,3.1,5.6,2,6,0.2,2.1,3.5,18.2,0.6,0.6
4,"N27",216,0.02,45,35,1.7,1.2,5,4,0.2,0.4,2.7,2.8,0.00529100529100527,0.00529100529100527
4,"N27",216,0.01,45,35,0.7,2.3,6,6,0.2,0.3,1.9,4.1,0.165413533834586,0.165413533834586
4,"N29",235,0.06,20,10,2.2,2.9,3,7,0.2,1.8,2.8,15.5,0.647959183673469,0.647959183673469
4,"N29",235,0.01,45,35,1.2,1.9,3,4,0.2,0.4,1.8,3.5,0.134920634920635,0.134920634920635
4,"N29",236,0.06,20,10,1.5,2.1,2,6,0.2,1,1.9,8.1,0.466165413533835,0.466165413533835
4,"N29",236,0.05,20,10,0.8,2.2,5,8,0.2,1.2,1.8,11.8,0.793650793650794,0.793650793650794
4,"N29",237,0.04,25,15,1.8,2.8,3,7,0.2,1.2,2.4,11.2,0.523809523809524,0.523809523809524
3,"N29",237,0.03,30,20,1.4,3,4,8,0.2,2.2,2.2,20.6,1.19480519480519,1.19480519480519
3,"N32",258,0.02,40,30,1.3,2.1,5,8,0.2,1.5,2.3,14.1,0.732919254658385,0.732919254658385
5,"N23",184,0.02,10,0,3,3.4,1,1,0.2,0.2,3.2,3.6,0.0178571428571429,0.0178571428571429
5,"N23",182,0.02,10,0,2.7,3.6,4,10,0.2,0.6,3.5,9.6,0.248979591836735,0.248979591836735
5,"N24",192,0.02,10,0,4.6,5.3,4,4,0.2,0.6,5.4,7.7,0.0608465608465608,0.0608465608465608
5,"N32",259,0.02,10,0,2.7,3.5,2,8,0.2,0.6,3.1,8.3,0.23963133640553,0.23963133640553
4,"I1",260,0.06,20,10,3.3,8.7,4,10,0.3,1.1,4.5,19.7,0.482539682539682,0.482539682539682
3,"I1",260,0.03,30,20,3.2,16.9,6,10,0.3,3.8,5,54.9,1.42571428571429,1.42571428571429
3,"I1",260,0.04,30,20,6.7,10.5,3,10,0.3,3.7,7.6,47.5,0.75,0.75
3,"I1",260,0.05,45,35,5.7,0,4,0,0.3,0,6.9,0,-0.142857142857143,0
3,"I1",260,0.06,45,35,5.2,0,6,0,0.3,0,7,0,-0.142857142857143,0
4,"I1",263,0.03,25,15,5.2,5.3,4,13,0.3,1.4,6.4,23.5,0.381696428571429,0.381696428571429
4,"I1",263,0.01,45,35,0.8,0.9,3,6,0.3,0.8,1.7,5.7,0.336134453781513,0.336134453781513
