"","PopulationI","Population"
"1",30,"N8"
"2",31,"N9"
"3",14,"N10"
"4",15,"N12"
"5",16,"N16"
"6",17,"N18"
"7",18,"N19"
"8",19,"N20"
"9",20,"N21"
"10",21,"N22"
"11",22,"N23"
"12",23,"N24"
"13",24,"N26"
"14",25,"N27"
"15",26,"N29"
"16",27,"N30"
"17",28,"N31"
"18",29,"N32"
"19",1,"I1"
"20",6,"I2"
"21",7,"I3"
"22",8,"I4"
"23",9,"I5"
"24",10,"I6"
"25",11,"I7"
"26",12,"I8"
"27",13,"I9"
"28",2,"I10"
"29",3,"I11"
"30",4,"I12"
"31",5,"I16"
