Round,Population,Range,Family,Replicate,daytemp,nighttemp,StemIN,StemOUT,secondarytotIN,secondarytotOUT,AvgsecondaryIN,AvgsecondaryOUT
4,N31,N,252,0.02,45,35,3.4,5.7,6,8,1.6,3.7
3,N31,N,251,0.05,45,35,1.8,2.1,10,8,1.8,2.3
3,N31,N,252,0.02,40,30,2.3,3.2,8,11,1.8,4.1
3,N31,N,252,0.05,45,35,1.5,1.9,6,6,1.9,3.2
3,N31,N,252,0.04,30,20,1.9,2.3,6,15,2,2.4
3,N31,N,253,0.05,45,35,3.7,12.5,6,7,2.3,1.9
4,N31,N,252,0.05,20,10,1.8,2.6,10,12,3.1,4.6
4,N32,N,258,0.03,25,15,1.1,1.6,0,2,0,1.9
4,N32,N,259,0.06,20,10,2.2,3.7,0,6,0,1.1
4,N32,N,256,0.06,20,10,2.2,3.4,2,2,0.1,1.5
3,N32,N,256,0.04,30,20,0.9,2.2,1,7,0.1,2.2
3,N32,N,258,0.01,40,30,2.5,3.5,4,4,0.1,0.5
3,N32,N,258,0.02,40,30,1.3,2.1,5,8,0.2,1.5
5,N32,N,259,0.02,10,0,2.7,3.5,2,8,0.2,0.6
4,N32,N,256,0.03,25,15,1.2,3.3,2,8,0.3,2.3
4,N32,N,258,0.05,20,10,2.3,1.6,6,8,0.3,1.7
4,N32,N,258,0.04,25,15,1.9,2.4,4,9,0.3,3.4
3,N32,N,258,0.05,45,35,0.7,0,1,0,0.3,NA
3,N32,N,258,0.06,45,35,2.2,2.7,5,6,0.3,1.5
5,N32,N,258,0.01,10,0,2.1,2.1,3,6,0.3,0.3
3,N32,N,259,0.04,30,20,3.1,9.5,7,10,0.4,3
4,N32,N,259,0.03,25,15,1,2.6,8,10,0.6,4.7
3,N32,N,256,0.01,40,30,1.9,4.6,6,11,0.7,1.8
3,N32,N,256,0.05,45,35,4.4,3.2,10,8,0.7,2.2
4,N32,N,256,0.01,45,35,3.1,3.1,4,7,0.7,1.1
3,N32,N,258,0.04,30,20,1.6,1.9,4,5,0.7,2.1
4,N32,N,258,0.02,45,35,2.2,3.3,6,9,0.7,1.2
3,N32,N,259,0.02,40,30,4.3,6.7,8,10,0.7,1.8
4,N32,N,256,0.05,20,10,2.7,3,8,9,0.8,3.5
4,N32,N,258,0.06,20,10,0.1,2.2,4,8,0.8,2
4,N32,N,259,0.05,20,10,4.2,7.3,9,12,0.8,1.6
4,N32,N,258,0.01,45,35,0.5,0.7,3,5,0.9,1.5
3,N32,N,259,0.03,30,20,3.2,6.7,10,18,0.9,4.2
3,N32,N,259,0.05,45,35,1.5,2.2,8,8,0.9,1.3
4,N32,N,259,0.02,45,35,0.9,0.7,4,3,0.9,1.2
5,N32,N,258,0.02,10,0,1.3,1.8,7,7,0.9,2.8
3,N32,N,256,0.03,30,20,3.1,7.7,8,12,1,3.7
4,N32,N,259,0.04,25,15,1.1,1.5,8,11,1.1,4.6
4,N32,N,256,0.02,45,35,2.2,2.3,6,6,1.2,1.2
3,N32,N,258,0.03,30,20,1.6,3.1,8,8,1.2,2.5
3,N32,N,259,0.01,40,30,2.4,4.4,9,17,1.2,4.2
3,N32,N,256,0.02,40,30,1.1,2.7,5,9,1.3,2.1
5,N32,N,259,0.01,10,0,4,4,6,6,1.5,2.6
3,N32,N,259,0.06,45,35,1.3,2.5,7,7,2.1,4
4,N32,N,259,0.01,45,35,1.2,0,10,4,2.2,2.4
3,N32,N,256,0.06,45,35,1.8,2.3,9,11,2.3,1.3
5,N32,N,256,0.01,10,0,3.1,3.7,4,6,2.4,2.5
5,N8,N,36,0.01,10,0,5.6,5.6,8,8,0.4,1
4,N8,N,36,0.01,45,35,2.7,3.6,6,10,0.5,1.3
4,N8,N,36,0.02,45,35,3.2,4.8,6,10,0.5,1.2
4,N8,N,36,0.04,25,15,2.3,12.3,8,14,0.6,1.5
3,N8,N,36,0.02,40,30,4.2,9,10,12,0.6,4.1
4,N8,N,35,0.05,20,10,3.6,5.7,8,12,0.7,3.1
3,N8,N,35,0.02,40,30,4.2,4.1,11,15,0.7,3.9
4,N8,N,35,0.01,45,35,7.7,0,4,1,0.7,0.6
3,N8,N,36,0.03,30,20,6.1,14.2,10,12,0.7,4.4
3,N8,N,35,0.06,45,35,1.1,3.2,3,2,0.8,2.1
4,N8,N,36,0.03,25,15,2.7,10,6,8,0.8,4
3,N8,N,36,0.01,40,30,4.1,9,4,13,0.8,5
3,N8,N,36,0.04,30,20,6.4,14,13,15,1,4
4,N8,N,36,0.05,20,10,3.8,8.3,6,12,1.2,2.6
3,N8,N,36,0.05,45,35,3.2,6.5,7,11,1.2,1.2
5,N8,N,36,0.02,10,0,4.5,6.4,6,8,1.2,1.7
3,N8,N,35,0.01,40,30,6.7,12.6,11,20,1.3,3.3
4,N8,N,36,0.06,20,10,4.3,9.5,7,12,1.5,2.7
5,N8,N,35,0.01,10,0,4.7,4.7,9,15,1.5,1.5
4,N8,N,35,0.02,45,35,7.2,0,8,0,1.7,0
3,N8,N,36,0.06,45,35,6.2,7.4,14,16,1.7,2.5
4,N8,N,35,0.06,20,10,5.7,14.1,9,7,2.1,3.2
3,N8,N,35,0.03,30,20,1.5,3.5,8,10,2.2,4.1
4,N8,N,35,0.03,25,15,4.7,9.2,6,14,2.3,6.9
5,N8,N,35,0.02,10,0,17.3,18.9,8,8,2.4,5.3
3,N8,N,35,0.05,45,35,3.7,3.7,13,15,2.8,1.6
3,N8,N,35,0.04,30,20,3.1,7.2,12,15,3.2,3.5
3,N9,N,50,0.02,40,30,2.6,5.3,4,8,0.3,1.7
4,N9,N,52,0.02,45,35,3.3,3.3,6,14,0.3,2.4
4,N9,N,50,0.04,25,15,1.8,5.7,3,10,0.4,2
4,N9,N,50,0.02,45,35,4.5,3.9,7,6,0.4,0.7
4,N9,N,50,0.03,25,15,3.2,6.1,8,10,0.6,3.9
3,N9,N,50,0.05,45,35,0.9,1.8,4,5,0.7,2.4
4,N9,N,50,0.01,45,35,5.2,5.4,8,7,0.7,1.2
3,N9,N,52,0.02,40,30,4.2,10.2,8,11,0.7,3.5
4,N9,N,52,0.01,45,35,3.7,5.6,7,8,1,1.7
4,N9,N,54,0.04,25,15,5.6,16.1,6,10,1,3.9
4,N9,N,54,0.05,20,10,6.4,18.4,8,14,1.1,3.2
3,N9,N,54,0.03,30,20,4.6,10.1,7,16,1.1,3
5,N9,N,52,0.01,10,0,5.2,6.1,6,11,1.1,1.2
4,N9,N,52,0.03,25,15,6.2,13.6,8,12,1.2,4.1
3,N9,N,52,0.03,30,20,5.2,16,8,14,1.2,6.5
3,N9,N,50,0.06,45,35,3.1,4.3,10,17,1.5,2.7
3,N9,N,52,0.06,45,35,5.2,0,8,0,1.5,NA
4,N9,N,54,0.06,20,10,5.7,13.4,5,10,1.5,4.1
4,N9,N,54,0.03,25,15,2.2,7.1,6,10,1.8,2.8
3,N9,N,54,0.06,45,35,2.5,3.1,6,7,1.8,1.5
3,N9,N,50,0.01,40,30,3.6,4.9,10,13,1.9,4.1
4,N9,N,52,0.06,20,10,2,4.3,8,12,1.9,5
3,N9,N,50,0.04,30,20,1.7,5.8,6,11,2,8.4
3,N9,N,54,0.02,40,30,3.2,7.5,6,12,2,5.3
3,N9,N,50,0.03,30,20,2.2,7,8,12,2.1,7.2
3,N9,N,52,0.01,40,30,5.5,8.6,8,14,2.1,3.8
3,N9,N,54,0.04,30,20,9.5,24.2,12,16,2.1,6.3
5,N9,N,54,0.01,10,0,10.5,14.7,6,8,2.2,2.2
5,N9,N,52,0.02,10,0,1.6,6.6,9,12,2.2,3
5,N9,N,50,0.02,10,0,9.2,10.5,9,10,2.5,3.2
5,N9,N,54,0.02,10,0,13.2,17.5,8,11,2.6,3
4,N9,N,50,0.05,20,10,12.8,23.1,11,16,2.8,6.3
4,N9,N,50,0.06,20,10,3.8,10.6,2,10,3,3.2
4,N9,N,52,0.05,20,10,6.2,12.1,9,13,3,5.1
5,N9,N,50,0.01,10,0,8.4,9.8,8,10,3,4.5
3,N9,N,54,0.01,40,30,5.3,12.7,8,17,3.1,2.2
3,N9,N,54,0.05,45,35,8.1,9.2,9,13,3.1,1.8
4,N9,N,54,0.01,45,35,5.2,4.7,7,7,3.1,4.3
4,N9,N,52,0.04,25,15,6.8,13.2,11,18,3.2,9.3
3,N9,N,52,0.05,45,35,4.8,5.2,8,4,3.9,3.7
